date,asset,action,weight,price,regime,equity,note
2015-05-04,EURUSD,OPEN_SHORT,-0.5,1.142,RANGE,99648.94,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.15 ≥ 2.0
2015-05-08,SPY,CLOSE,0.0,209.1197,RANGE,99292.14,all strategies flat
2015-05-26,SPY,OPEN_SHORT,-0.5,215.702,RANGE,98927.06,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.41 ≥ 2.0
2015-05-27,SPY,CLOSE,0.0,216.8688,TREND_DOWN,98632.82,all strategies flat
2015-05-28,EURUSD,CLOSE,0.0,1.1439,TREND_DOWN,98774.38,all strategies flat
2015-06-19,EURUSD,OPEN_SHORT,-0.5,1.1411,TREND_DOWN,98747.93,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-06-26,GLD,OPEN_SHORT,-0.5,113.6562,HIGH_VOL_CRASH,98916.08,ACTIVE (regime HIGH_VOL_CRASH ∈ ['HIGH_VOL_CRASH']); breakdown < 20d low
2015-06-29,GLD,CLOSE,0.0,114.3925,RANGE,98523.71,all strategies flat
2015-06-29,EURUSD,CLOSE,0.0,1.1377,RANGE,98523.71,all strategies flat
2015-06-30,EURUSD,OPEN_SHORT,-0.5,1.1352,TREND_DOWN,98472.05,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-07-02,SPY,OPEN_LONG,0.5,235.4603,TREND_UP,98742.4,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-07-02,BTC-USD,OPEN_SHORT,-0.5,12046.0915,RANGE,98742.4,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.32 ≥ 2.0
2015-07-03,SPY,CLOSE,0.0,235.0777,TREND_DOWN,99216.91,all strategies flat
2015-07-03,EURUSD,CLOSE,0.0,1.1299,RANGE,99216.91,all strategies flat
2015-07-07,EURUSD,OPEN_SHORT,-0.5,1.1289,TREND_DOWN,99337.0,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-07-09,GLD,OPEN_LONG,0.5,115.4192,TREND_UP,99432.73,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-07-09,EURUSD,CLOSE,0.0,1.1301,RANGE,99432.73,all strategies flat
2015-07-10,BTC-USD,CLOSE,0.0,11680.1579,RANGE,100016.96,all strategies flat
2015-07-10,EURUSD,OPEN_SHORT,-0.5,1.1342,TREND_DOWN,100016.96,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-07-13,EURUSD,CLOSE,0.0,1.1291,RANGE,100205.91,all strategies flat
2015-07-14,SPY,OPEN_LONG,0.5,240.6258,TREND_UP,100307.85,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-07-15,SPY,CLOSE,0.0,241.4475,TREND_DOWN,100332.68,all strategies flat
2015-07-16,SPY,OPEN_LONG,0.5,243.4065,TREND_UP,100315.38,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-07-16,EURUSD,OPEN_SHORT,-0.5,1.1266,TREND_DOWN,100315.38,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-07-17,SPY,CLOSE,0.0,244.5157,TREND_DOWN,100634.08,all strategies flat
2015-07-17,EURUSD,CLOSE,0.0,1.1228,RANGE,100634.08,all strategies flat
2015-07-20,QQQ,OPEN_SHORT,-0.5,237.9495,RANGE,100490.77,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.84 ≥ 2.0
2015-07-22,EURUSD,OPEN_SHORT,-0.5,1.1235,TREND_DOWN,99903.48,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-07-27,GLD,CLOSE,0.0,114.6851,RANGE,98903.62,all strategies flat
2015-07-27,BTC-USD,OPEN_SHORT,-0.5,12400.5582,RANGE,98903.62,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.10 ≥ 2.0
2015-07-27,EURUSD,CLOSE,0.0,1.1233,RANGE,98903.62,all strategies flat
2015-07-28,GLD,OPEN_LONG,0.5,115.427,TREND_UP,99482.31,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-07-28,BTC-USD,CLOSE,0.0,12134.8722,TREND_DOWN,99482.31,all strategies flat
2015-07-29,BTC-USD,OPEN_LONG,0.4997,12330.9643,TREND_UP,99372.83,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-07-31,GLD,CLOSE,0.0,115.5606,RANGE,100008.84,all strategies flat
2015-07-31,BTC-USD,CLOSE,0.0,12518.0097,TREND_DOWN,100008.84,all strategies flat
2015-08-03,BTC-USD,OPEN_LONG,0.5,12886.0743,TREND_UP,99724.34,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-08-05,EURUSD,OPEN_SHORT,-0.5,1.1359,RANGE,100130.63,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.12 ≥ 2.0
2015-08-12,QQQ,CLOSE,0.0,252.6871,TREND_DOWN,100485.43,all strategies flat
2015-08-12,GLD,OPEN_LONG,0.5,116.5657,TREND_UP,100485.43,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-08-12,EURUSD,CLOSE,0.0,1.1273,RANGE,100485.43,all strategies flat
2015-08-14,GLD,CLOSE,0.0,116.8065,RANGE,100265.37,all strategies flat
2015-08-19,GLD,OPEN_LONG,0.5,116.5804,TREND_UP,100085.78,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-08-20,QQQ,OPEN_SHORT,-0.5,259.6498,RANGE,98771.63,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.09 ≥ 2.0
2015-08-20,GLD,CLOSE,0.0,116.6609,RANGE,98771.63,all strategies flat
2015-08-21,GLD,OPEN_LONG,0.5,116.1319,TREND_UP,98862.05,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-08-24,GLD,CLOSE,0.0,115.9078,RANGE,98531.58,all strategies flat
2015-08-28,SPY,OPEN_LONG,0.5,255.4385,TREND_UP,97737.44,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-08-31,SPY,CLOSE,0.0,256.5006,TREND_DOWN,96451.97,all strategies flat
2015-09-01,QQQ,CLOSE,0.0,272.9615,TREND_DOWN,94505.81,all strategies flat
2015-09-01,BTC-USD,FLIP,-0.4761,12313.4688,TREND_DOWN,94505.81,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-09-02,BTC-USD,FLIP,0.4923,12404.7542,TREND_UP,94052.95,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-09-07,SPY,OPEN_LONG,0.5,256.4891,TREND_UP,95194.28,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-09-08,SPY,CLOSE,0.0,255.8559,TREND_DOWN,95704.93,all strategies flat
2015-09-09,SPY,OPEN_LONG,0.5,258.2683,TREND_UP,96261.47,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-09-10,SPY,CLOSE,0.0,257.643,TREND_DOWN,96944.35,all strategies flat
2015-09-11,BTC-USD,CLOSE,0.0,13659.4888,TREND_DOWN,98181.8,all strategies flat
2015-09-14,SPY,OPEN_LONG,0.5,263.5454,HIGH_VOL_CRASH,98135.11,ACTIVE (regime HIGH_VOL_CRASH ∈ ['HIGH_VOL_CRASH']); breakout up > 20d high
2015-09-14,GLD,OPEN_LONG,0.5,116.949,TREND_UP,98135.11,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-09-15,SPY,CLOSE,0.0,262.4334,TREND_DOWN,97900.42,all strategies flat
2015-09-15,GLD,FLIP,-0.5,117.0286,RANGE,97900.42,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.14 ≥ 2.0
2015-09-15,BTC-USD,OPEN_LONG,0.5,13921.2049,TREND_UP,97900.42,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-09-16,BTC-USD,CLOSE,0.0,13629.56,TREND_DOWN,96767.36,all strategies flat
2015-09-17,GLD,FLIP,0.5,117.7797,TREND_UP,96385.32,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-09-17,BTC-USD,OPEN_LONG,0.5,13586.5901,TREND_UP,96385.32,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-09-18,GLD,FLIP,-0.5,117.839,RANGE,96302.53,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.31 ≥ 2.0
2015-09-21,EURUSD,OPEN_LONG,0.5,1.1298,TREND_UP,96073.17,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-09-22,EURUSD,CLOSE,0.0,1.13,RANGE,96394.32,all strategies flat
2015-09-23,BTC-USD,CLOSE,0.0,13693.4412,TREND_DOWN,96532.06,all strategies flat
2015-09-23,EURUSD,OPEN_SHORT,-0.5,1.1401,RANGE,96532.06,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=3.19 ≥ 2.0
2015-09-24,GLD,FLIP,0.5,118.4268,TREND_UP,96303.01,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-09-30,EURUSD,CLOSE,0.0,1.1511,TREND_DOWN,95474.66,all strategies flat
2015-10-01,GLD,CLOSE,0.0,117.7694,RANGE,95478.22,all strategies flat
2015-10-02,SPY,OPEN_LONG,0.5,268.6077,TREND_UP,95449.97,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-05,SPY,CLOSE,0.0,267.3848,RANGE,95204.52,all strategies flat
2015-10-05,BTC-USD,OPEN_SHORT,-0.5,14380.6408,RANGE,95204.52,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.02 ≥ 2.0
2015-10-06,SPY,OPEN_LONG,0.5,269.6628,TREND_UP,95917.28,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-06,BTC-USD,CLOSE,0.0,14145.1124,TREND_DOWN,95917.28,all strategies flat
2015-10-07,SPY,CLOSE,0.0,269.0668,RANGE,95742.44,all strategies flat
2015-10-07,QQQ,OPEN_LONG,0.5,288.6602,TREND_UP,95742.44,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-07,GLD,OPEN_LONG,0.5,117.7048,TREND_UP,95742.44,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-07,EURUSD,OPEN_LONG,0.5,1.1411,TREND_UP,95742.44,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-08,GLD,CLOSE,0.0,117.7549,RANGE,95508.66,all strategies flat
2015-10-09,SPY,OPEN_LONG,0.375,270.6189,TREND_UP,95980.83,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-09,GLD,OPEN_LONG,0.375,117.9675,TREND_UP,95980.83,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-12,QQQ,FLIP,-0.3796,292.0674,RANGE,96547.45,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.32 ≥ 2.0
2015-10-12,BTC-USD,OPEN_SHORT,-0.3611,14602.0801,RANGE,96547.45,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.23 ≥ 2.0
2015-10-12,EURUSD,CLOSE,0.0,1.1431,RANGE,96547.45,all strategies flat
2015-10-13,BTC-USD,FLIP,0.3383,15095.5032,TREND_UP,94476.0,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-16,QQQ,FLIP,0.3753,292.7445,TREND_UP,95323.5,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-19,QQQ,CLOSE,0.0,292.5482,RANGE,96091.2,all strategies flat
2015-10-19,EURUSD,OPEN_LONG,0.375,1.1437,TREND_UP,96091.2,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-20,QQQ,OPEN_LONG,0.3761,295.6483,TREND_UP,96640.54,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-20,EURUSD,CLOSE,0.0,1.1481,RANGE,96640.54,all strategies flat
2015-10-23,GLD,CLOSE,0.0,120.0486,RANGE,98034.39,all strategies flat
2015-10-27,GLD,OPEN_LONG,0.3774,119.8274,TREND_UP,98890.53,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-10-29,GLD,CLOSE,0.0,120.2451,RANGE,99604.41,all strategies flat
2015-10-30,GLD,OPEN_LONG,0.3805,119.7233,TREND_UP,100951.78,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-11-02,GLD,CLOSE,0.0,119.5743,RANGE,99843.4,all strategies flat
2015-11-03,GLD,OPEN_LONG,0.39,120.3686,TREND_UP,101495.86,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-11-09,GLD,CLOSE,0.0,120.4984,RANGE,103630.44,all strategies flat
2015-11-11,QQQ,CLOSE,0.0,298.2387,RANGE,104047.5,all strategies flat
2015-11-11,GLD,OPEN_LONG,0.5,120.2407,TREND_UP,104047.5,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-11-12,GLD,CLOSE,0.0,120.2843,RANGE,104046.11,all strategies flat
2015-11-17,EURUSD,OPEN_LONG,0.5,1.1445,TREND_UP,104053.54,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-11-18,GLD,OPEN_LONG,0.3854,120.8283,TREND_UP,103638.73,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-11-19,EURUSD,CLOSE,0.0,1.1475,RANGE,103213.62,all strategies flat
2015-11-20,QQQ,OPEN_LONG,0.3195,292.6972,RANGE,101963.33,ACTIVE (regime RANGE ∈ ['RANGE']); long fade: z=-2.16 ≤ -2.0
2015-11-20,EURUSD,OPEN_LONG,0.3195,1.15,TREND_UP,101963.33,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-11-23,EURUSD,CLOSE,0.0,1.1503,RANGE,102027.63,all strategies flat
2015-11-24,EURUSD,OPEN_LONG,0.3195,1.1541,TREND_UP,101895.51,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-11-27,QQQ,CLOSE,0.0,298.5058,RANGE,104453.93,all strategies flat
2015-12-17,QQQ,OPEN_SHORT,-0.3195,304.9479,RANGE,106644.41,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.19 ≥ 2.0
2015-12-29,EURUSD,CLOSE,0.0,1.1513,RANGE,107286.61,all strategies flat
2015-12-30,QQQ,FLIP,0.3934,318.8209,TREND_UP,106174.66,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2015-12-31,BTC-USD,CLOSE,0.0,18643.6534,RANGE,106512.55,all strategies flat
2016-01-01,EURUSD,OPEN_LONG,0.375,1.1529,TREND_UP,106769.02,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-01-07,QQQ,CLOSE,0.0,324.2301,HIGH_VOL_CRASH,106654.38,all strategies flat
2016-01-08,QQQ,OPEN_LONG,0.375,321.1081,TREND_UP,106714.53,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-01-12,BTC-USD,OPEN_SHORT,-0.3,19864.6429,RANGE,106215.42,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.43 ≥ 2.0
2016-01-19,QQQ,CLOSE,0.0,321.7532,RANGE,104539.72,all strategies flat
2016-01-20,QQQ,OPEN_LONG,0.3,325.3651,TREND_UP,104147.7,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-01-21,QQQ,CLOSE,0.0,325.3186,RANGE,103575.9,all strategies flat
2016-01-21,EURUSD,CLOSE,0.0,1.1443,RANGE,103575.9,all strategies flat
2016-01-22,EURUSD,OPEN_LONG,0.375,1.1517,TREND_UP,103725.65,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-01-25,QQQ,OPEN_LONG,0.3,331.0773,TREND_UP,104487.07,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-01-26,QQQ,CLOSE,0.0,324.9324,HIGH_VOL_CRASH,104047.43,all strategies flat
2016-01-27,QQQ,OPEN_LONG,0.3,325.7728,TREND_UP,104700.34,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-02-02,BTC-USD,CLOSE,0.0,20180.117,RANGE,105741.88,all strategies flat
2016-02-04,BTC-USD,OPEN_LONG,0.2555,19588.07,TREND_UP,107408.45,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-02-11,BTC-USD,CLOSE,0.0,20104.5209,RANGE,108802.21,all strategies flat
2016-02-11,EURUSD,CLOSE,0.0,1.1582,RANGE,108802.21,all strategies flat
2016-02-12,QQQ,CLOSE,0.0,330.816,HIGH_VOL_CRASH,108085.55,all strategies flat
2016-02-15,BTC-USD,OPEN_LONG,0.4857,20623.8312,TREND_UP,108027.18,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-02-25,QQQ,OPEN_LONG,0.3,337.7296,TREND_UP,107915.31,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-02-25,EURUSD,OPEN_LONG,0.3,1.1584,TREND_UP,107915.31,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-02-26,BTC-USD,CLOSE,0.0,20780.47,RANGE,107759.11,all strategies flat
2016-02-26,EURUSD,CLOSE,0.0,1.1596,RANGE,107759.11,all strategies flat
2016-03-01,SPY,CLOSE,0.0,297.9648,RANGE,107907.39,all strategies flat
2016-03-03,EURUSD,OPEN_LONG,0.5,1.162,TREND_UP,109084.11,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-03-04,EURUSD,CLOSE,0.0,1.1602,RANGE,108626.26,all strategies flat
2016-03-07,SPY,OPEN_LONG,0.5,296.3306,TREND_UP,108107.76,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-03-08,GLD,CLOSE,0.0,129.2746,RANGE,107909.15,all strategies flat
2016-03-09,GLD,OPEN_LONG,0.375,128.9835,TREND_UP,108307.89,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-03-09,BTC-USD,OPEN_LONG,0.375,19644.095,RANGE,108307.89,ACTIVE (regime RANGE ∈ ['RANGE']); long fade: z=-2.05 ≤ -2.0
2016-03-10,BTC-USD,FLIP,-0.2562,19327.1735,HIGH_VOL_CRASH,108697.58,ACTIVE (regime HIGH_VOL_CRASH ∈ ['HIGH_VOL_CRASH']); breakdown < 20d low
2016-03-10,EURUSD,OPEN_LONG,0.3109,1.1718,TREND_UP,108697.58,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-03-11,BTC-USD,CLOSE,0.0,19732.3573,RANGE,108437.65,all strategies flat
2016-03-14,BTC-USD,OPEN_LONG,0.2807,20488.2439,TREND_UP,107629.19,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-03-16,EURUSD,CLOSE,0.0,1.164,RANGE,107100.03,all strategies flat
2016-03-17,SPY,FLIP,-0.375,287.3083,TREND_DOWN,106817.37,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2016-03-18,QQQ,CLOSE,0.0,338.2913,HIGH_VOL_CRASH,106882.66,all strategies flat
2016-03-18,BTC-USD,CLOSE,0.0,21476.6814,RANGE,106882.66,all strategies flat
2016-03-18,EURUSD,OPEN_LONG,0.5,1.1571,TREND_UP,106882.66,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-03-21,GLD,CLOSE,0.0,129.0571,HIGH_VOL_CRASH,105967.69,all strategies flat
2016-03-22,QQQ,OPEN_LONG,0.5,335.3811,TREND_UP,106645.41,"ACTIVE (regime TREND_UP ∈ ['TREND_DOWN', 'TREND_UP']); long: close>0.5·ATR below fastMA"
2016-03-22,EURUSD,CLOSE,0.0,1.1627,RANGE,106645.41,all strategies flat
